date,ticker,article_count,avg_prob_pos,avg_prob_neg,avg_prob_neu,pos_count,neg_count,pos_ratio
2022-04-25,BID,1,0.011274322867393494,0.9454930424690247,0.043232619762420654,0,1,0.0
2022-04-25,FPT,2,0.02737492322921753,0.8934277296066284,0.07919731363654137,0,2,0.0
2022-04-26,BID,1,0.4390873312950134,0.01969022862613201,0.5412224531173706,0,0,0.0
2022-04-26,FPT,1,0.013170474208891392,0.9357502460479736,0.05107921361923218,0,1,0.0
2022-05-04,FPT,1,0.05495826154947281,0.41234278678894043,0.5326989889144897,0,0,0.0
2022-05-05,BID,1,0.07568760216236115,0.07206705957651138,0.8522453308105469,0,0,0.0
2022-05-06,BID,1,0.03673119097948074,0.8144708275794983,0.14879801869392395,0,1,0.0
2022-05-06,FPT,1,0.03673119097948074,0.8144708275794983,0.14879801869392395,0,1,0.0
2022-05-09,BID,2,0.5068621784448624,0.43117908597923815,0.06195873999968171,1,1,0.49999999975
2022-05-10,BID,1,0.016242651268839836,0.8983861804008484,0.08537120372056961,0,1,0.0
2022-05-12,BID,1,0.012337194755673409,0.9473280906677246,0.04033472761511803,0,1,0.0
2022-05-16,BID,1,0.0611746646463871,0.39125925302505493,0.5475661158561707,0,0,0.0
2022-05-17,BID,1,0.10360027104616165,0.040521666407585144,0.8558780550956726,0,0,0.0
2022-05-17,FPT,1,0.9117473363876343,0.01221035048365593,0.07604237645864487,1,0,0.9999999989999999
2022-05-18,BID,1,0.006875046528875828,0.968860924243927,0.024263987317681313,0,1,0.0
2022-05-18,FPT,2,0.03252882929518819,0.549948200583458,0.41752294171601534,0,1,0.0
2022-05-20,BID,1,0.06704840064048767,0.11494121700525284,0.8180103898048401,0,0,0.0
2022-05-23,BID,1,0.03609088435769081,0.7415438890457153,0.22236518561840057,0,1,0.0
2022-05-25,BID,1,0.13873043656349182,0.21064433455467224,0.6506252288818359,0,0,0.0
2022-05-25,FPT,1,0.13873043656349182,0.21064433455467224,0.6506252288818359,0,0,0.0
2022-05-26,BID,2,0.9195293188095093,0.010838801506906748,0.0696318349801004,2,0,0.9999999995
2022-05-27,FPT,1,0.14827768504619598,0.029774459078907967,0.8219478130340576,0,0,0.0
